Master Time (s),opt_cum_x,opt_cum_y,opt_dx,opt_dy
0.180952,-15,11,0,1
0.214955,-16,11,-1,0
0.414945,-18,11,-2,0
0.514747,-29,11,-11,0
0.583163,-31,8,-2,-3
0.715797,-61,5,-30,-3
0.815922,-74,1,-13,-4
0.999209,-75,-4,-1,-5
1.049693,-76,-4,-1,0
1.166370,-76,-2,0,2
1.300324,-83,-2,-7,0
1.415991,-112,-1,-29,1
1.549907,-99,24,13,25
1.733431,-85,23,14,-1
1.850035,-73,-8,12,-31
2.066887,-50,-18,23,-10
2.266613,-40,-18,10,0
2.433761,-22,-56,18,-38
2.483822,-56,-83,-34,-27
2.600618,-55,-68,1,15
2.751111,-76,-83,-21,-15
2.909709,-94,-87,-18,-4
2.967843,-97,-85,-3,2
3.102182,-112,-70,-15,15
3.217873,-105,-65,7,5
3.351573,-117,-3,-12,62
3.468177,-106,21,11,24
3.575682,-102,-10,4,-31
3.801466,-60,-49,42,-39
3.951991,-37,-59,23,-10
3.985355,-21,-74,16,-15
4.177583,-21,-105,0,-31
4.286252,-27,-89,-6,16
4.536687,-79,-89,-52,0
4.594983,-39,-28,40,61
4.786603,-57,-24,-18,4
4.819673,-23,-34,34,-10
5.009980,-48,27,-25,61
5.219678,-58,-2,-10,-29
5.336166,-39,-26,19,-24
5.503327,-18,-32,21,-6
5.586688,10,-49,28,-17
5.753371,10,-106,0,-57
5.836971,20,-124,10,-18
5.970762,-22,-128,-42,-4
6.220942,-26,-142,-4,-14
6.254161,-4,-34,22,108
6.337791,-9,-34,-5,0
6.462931,-2,-22,7,12
6.572367,13,19,15,41
6.770693,16,45,3,26
6.854722,15,13,-1,-32
6.938344,37,-12,22,-25
7.104657,70,-20,33,-8
7.271938,88,-27,18,-7
7.405514,96,-29,8,-2
7.522375,45,-72,-51,-43
7.655982,131,-136,86,-64
7.906384,112,-142,-19,-6
8.022082,104,-155,-8,-13
8.073277,211,-281,107,-126
8.189607,294,-275,83,6
8.323498,384,-271,90,4
8.490099,438,-266,54,5
8.606293,452,-215,14,51
8.739840,457,-217,5,-2
8.856712,451,-218,-6,-1
8.907355,458,-224,7,-6
9.106976,464,-231,6,-7
9.215659,464,-242,0,-11
9.273751,480,-260,16,-18
9.440773,510,-274,30,-14
9.524262,534,-273,24,1
9.741102,565,-270,31,3
10.049357,569,-272,4,-2
10.075012,567,-266,-2,6
10.107954,560,-270,-7,-4
10.241923,511,-298,-49,-28
10.466127,517,-327,6,-29
10.524392,516,-325,-1,2
10.608657,518,-328,2,-3
10.775449,533,-330,15,-2
10.941479,531,-287,-2,43
11.075631,528,-253,-3,34
11.192247,518,-253,-10,0
11.326057,520,-259,2,-6
11.492994,517,-272,-3,-13
11.609353,517,-277,0,-5
11.717711,527,-291,10,-14
11.909864,547,-311,20,-20
11.967008,571,-310,24,1
12.160691,577,-281,6,29
12.276990,577,-276,0,5
12.401963,572,-279,-5,-3
12.568132,531,-291,-41,-12
12.710815,539,-292,8,-1
12.893553,549,-285,10,7
13.077410,554,-282,5,3
13.161088,564,-276,10,6
13.327864,554,-246,-10,30
13.570138,544,-253,-10,-7
13.669765,558,-287,14,-34
13.778742,585,-301,27,-14
13.838855,609,-309,24,-8
13.945935,639,-316,30,-7
14.128443,664,-327,25,-11
14.212211,669,-341,5,-14
14.329210,692,-328,23,13
14.413079,610,-339,-82,-11
14.562814,596,-337,-14,2
14.679391,608,-185,12,152
14.846180,695,-89,87,96
14.929730,709,-74,14,15
15.037011,729,-43,20,31
15.229752,675,8,-54,51
15.346840,688,-29,13,-37
15.513324,711,-59,23,-30
15.696790,737,-71,26,-12
15.830239,756,-79,19,-8
15.863882,757,-88,1,-9
16.056509,820,-86,63,2
16.197063,756,-113,-64,-27
16.280994,801,-74,45,39
16.414957,820,1,19,75
16.531110,811,55,-9,54
16.697514,824,201,13,146
16.781445,797,340,-27,139
16.947702,784,385,-13,45
17.114150,795,346,11,-39
17.305703,848,310,53,-36
17.565367,920,295,72,-15
17.615990,934,281,14,-14
17.732098,954,274,20,-7
17.866135,952,290,-2,16
17.982742,849,225,-103,-65
18.149471,856,286,7,61
18.300208,772,586,-84,300
18.532559,707,802,-65,216
18.599903,688,808,-19,6
18.799981,686,825,-2,17
18.883386,683,822,-3,-3
18.934138,698,809,15,-13
19.133624,728,806,30,-3
19.217258,731,810,3,4
19.350891,734,812,3,2
19.550245,734,815,0,3
19.634408,732,815,-2,0
19.784736,725,815,-7,0
19.901102,704,809,-21,-6
20.067822,665,785,-39,-24
20.151304,578,704,-87,-81
20.259607,495,568,-83,-136
20.368928,435,489,-60,-79
20.484742,428,457,-7,-32
20.619109,424,439,-4,-18
20.735341,430,436,6,-3
20.902404,433,434,3,-2
21.091935,435,434,2,0
21.235106,415,407,-20,-27
21.402688,414,406,-1,-1
21.453487,413,406,-1,0
21.569482,413,406,0,0
21.736400,413,406,0,0
21.820014,413,407,0,1
21.943916,413,407,0,0
