Time (s),tof_distance_mm
0.069282,217
0.114525,218
0.181094,218
0.214319,219
0.281027,219
0.338154,222
0.415156,221
0.481610,219
0.514959,221
0.582673,221
0.639977,223
0.715382,223
0.781998,228
0.815523,230
0.865839,234
0.924967,236
0.999110,241
1.049304,241
1.107081,245
1.165688,243
1.249591,241
1.299906,236
1.333188,228
1.415691,224
1.466345,224
1.549740,229
1.582785,229
1.733028,226
1.766407,222
1.849172,222
1.932480,222
2.016004,215
2.100052,213
2.316951,214
2.349966,211
2.433605,198
2.567088,199
2.600412,218
2.601169,222
2.750709,173
2.784035,145
2.784651,168
2.934281,238
2.967759,273
3.051055,254
3.101823,238
3.133998,231
3.217487,219
3.268359,187
3.351374,182
3.384828,180
3.467306,179
3.518508,179
3.575365,178
3.744173,178
3.769020,183
3.801889,181
3.802777,174
3.952033,167
3.985151,162
4.118617,153
4.177272,148
4.235197,150
4.285843,151
4.369129,149
4.536334,122
4.594595,5153
4.652572,216
4.702468,186
4.786829,165
4.819327,174
4.952825,218
5.009732,230
5.119722,230
5.219272,222
5.252748,223
5.304417,222
5.363258,218
5.420371,218
5.503486,216
5.554282,211
5.612648,210
5.720345,200
5.804038,187
5.837125,170
5.970526,160
5.970905,102
6.087158,90
6.220988,126
6.278756,312
6.337997,225
6.404214,223
6.462994,224
6.521252,221
6.571973,224
6.629136,224
6.771043,226
6.854042,224
6.937558,221
6.988113,216
7.071864,215
7.238178,209
7.238742,206
7.354643,203
7.405053,199
7.488901,199
7.522000,193
7.605206,225
7.655596,251
7.772193,254
7.906301,263
7.938605,308
8.022511,372
8.072974,343
8.130705,334
8.189131,324
8.239592,325
8.323096,306
8.356215,276
8.489606,256
8.547789,244
8.606436,237
8.740096,235
8.856385,240
8.906955,238
8.964991,239
9.023351,237
9.107035,237
9.215219,237
9.273478,237
9.324254,238
9.439933,234
9.523787,232
9.574450,226
9.632748,220
9.741279,211
9.856967,203
10.049570,200
10.107868,213
10.191181,222
10.241518,244
10.274703,265
10.408721,280
10.491803,286
10.525351,283
10.608570,280
10.658470,271
10.716880,265
10.774845,256
10.825782,247
10.908680,246
10.942415,245
11.025637,247
11.134292,243
11.191664,244
11.192928,246
11.325966,245
11.442091,246
11.492584,248
11.550750,247
11.609602,251
11.659702,251
11.717377,250
11.775924,249
11.860343,247
11.910015,246
11.943641,241
12.109407,238
12.160328,235
12.193601,231
12.276612,232
12.278064,235
12.401513,236
12.460644,236
12.567709,234
12.627291,248
12.710323,255
12.810442,262
12.860547,266
12.944556,265
12.977189,262
13.127717,260
13.160700,254
13.244271,253
13.294611,252
13.355101,252
13.411555,249
13.570443,247
13.669379,247
13.778380,245
13.812242,242
13.894565,235
13.945536,234
13.978650,231
14.078645,226
14.128651,222
14.187477,217
14.245329,217
14.328826,222
14.378785,228
14.411881,227
14.414294,154
14.562421,83
14.595701,116
14.678920,226
14.729180,331
14.845305,307
14.929267,269
14.979560,157
15.012680,163
15.146745,164
15.204888,172
15.262337,173
15.346407,168
15.430240,162
15.512609,163
15.513885,156
15.637681,153
15.696941,146
15.747353,140
15.830448,142
15.863802,140
15.946829,134
15.997247,136
16.056107,134
16.113493,133
16.164073,123
16.247729,113
16.280171,99
16.364280,109
16.414564,126
16.473216,165
16.531149,156
16.581138,161
16.664805,168
16.698136,160
16.781135,163
16.805634,168
16.890283,169
16.948149,162
17.031441,165
17.114713,163
17.198404,165
17.465253,161
17.491653,155
17.615579,135
17.675369,132
17.732001,128
17.782359,126
17.865797,128
17.898976,139
17.982350,109
18.090104,69
18.148706,63
18.216221,100
18.299767,136
18.332655,155
18.333542,264
18.532948,255
18.599509,248
18.632994,244
18.767565,243
18.800140,244
18.883536,247
18.934040,244
18.991330,242
19.050436,237
19.100331,237
19.183827,234
19.216724,235
19.300344,236
19.350317,233
19.408281,231
19.467162,233
19.550430,234
19.634050,234
19.634676,235
19.784330,236
19.817395,238
19.900657,245
19.951023,246
20.068115,250
20.151347,267
20.201476,341
20.234560,362
20.318402,142
20.369051,142
20.426818,72
20.427116,134
20.484890,160
20.534907,184
20.535200,109
20.619023,113
20.676319,56
20.734668,74
20.785279,58
20.868965,75
20.985444,76
21.035396,75
21.092301,75
21.202838,75
21.401954,70
21.452912,78
21.509970,79
21.569395,82
21.619881,75
21.703369,80
21.819626,74
21.886811,87
21.943719,75
22.019662,85
