Time (s),orientation_x,orientation_y,orientation_z
0.069227,1.620000,80.880000,-90.380000
0.115127,1.500000,80.810000,-88.060000
0.181456,1.560000,80.690000,-85.500000
0.214643,1.500000,80.620000,-82.880000
0.337874,1.380000,80.690000,-80.810000
0.380979,1.250000,80.690000,-78.120000
0.415114,1.120000,80.690000,-76.000000
0.481699,1.120000,80.560000,-73.880000
0.515051,1.120000,80.310000,-71.250000
0.582777,1.250000,80.190000,-68.250000
0.639930,2.060000,79.310000,-67.000000
0.715493,0.810000,76.690000,-69.310000
0.782105,356.560000,74.440000,-68.810000
0.815625,352.250000,74.620000,-68.000000
0.865941,347.620000,75.500000,-66.000000
0.966128,342.690000,76.810000,-62.560000
0.999335,337.620000,78.310000,-58.120000
1.049445,331.810000,80.120000,-51.500000
1.107164,326.810000,81.880000,-43.440000
1.166163,322.750000,84.380000,-3.750000
1.249541,317.380000,87.190000,-0.750000
1.300008,311.750000,87.440000,2.190000
1.363533,306.000000,85.000000,4.940000
1.415761,300.380000,83.560000,173.620000
1.466452,293.060000,83.380000,6.250000
1.549693,284.560000,83.810000,5.190000
1.583023,281.500000,85.810000,2.190000
1.733082,282.620000,85.880000,-2.690000
1.766193,287.440000,82.380000,-74.190000
1.849745,290.750000,79.620000,-84.620000
1.932842,294.060000,76.810000,-95.440000
2.066541,297.380000,74.120000,-102.120000
2.100174,300.000000,72.190000,-105.440000
2.317053,300.190000,71.880000,-105.690000
2.433058,310.060000,63.440000,-102.750000
2.483457,316.440000,54.750000,-97.810000
2.567474,319.120000,52.000000,-95.310000
2.600316,327.120000,44.250000,-93.000000
2.601257,336.940000,34.060000,-91.690000
2.750812,341.940000,29.500000,-89.060000
2.784242,10.690000,30.500000,-89.940000
2.784847,4.810000,35.310000,-90.750000
2.934089,354.620000,44.440000,-90.620000
2.967800,340.750000,57.060000,-90.750000
3.050878,328.440000,67.690000,-90.120000
3.101771,317.000000,78.690000,-90.190000
3.134280,304.940000,87.620000,177.690000
3.217645,298.120000,81.250000,90.940000
3.268455,294.120000,78.810000,96.440000
3.351620,292.560000,80.310000,74.940000
3.384653,293.380000,81.560000,84.500000
3.467848,296.060000,85.440000,4.120000
3.518615,301.190000,87.690000,-1.000000
3.575464,306.120000,84.690000,-4.940000
3.768776,312.750000,79.120000,-88.810000
3.801105,321.750000,72.810000,-101.810000
3.802379,324.750000,70.940000,-104.250000
3.926191,327.560000,69.000000,-105.000000
3.984924,331.190000,66.500000,-105.690000
4.118744,337.190000,62.500000,-104.190000
4.177381,346.060000,52.750000,-99.560000
4.235312,353.620000,48.120000,-98.190000
4.285950,3.620000,40.440000,-96.810000
4.368984,15.880000,26.880000,-94.060000
4.536431,17.060000,24.440000,-90.880000
4.594694,1.120000,45.940000,-90.690000
4.652530,349.440000,60.000000,-89.380000
4.702573,334.380000,74.190000,-92.690000
4.786648,320.880000,87.310000,-177.440000
4.819430,310.380000,82.750000,103.810000
4.952928,308.440000,83.500000,173.500000
5.009849,310.250000,84.250000,5.380000
5.152891,311.120000,87.190000,0.000000
5.219376,321.380000,79.190000,-78.120000
5.252865,326.190000,74.690000,-86.940000
5.304516,329.380000,71.940000,-91.880000
5.419782,331.310000,70.880000,-95.940000
5.420499,332.440000,69.690000,-98.500000
5.503574,335.060000,67.500000,-100.560000
5.554340,338.060000,65.000000,-101.880000
5.669970,343.000000,61.000000,-102.190000
5.720442,350.190000,53.810000,-100.000000
5.836688,356.940000,45.750000,-97.810000
5.919618,9.250000,37.440000,-97.750000
5.971001,19.440000,22.120000,-94.810000
6.137584,22.620000,23.000000,-89.750000
6.253600,0.560000,54.250000,-87.310000
6.336983,346.310000,68.380000,-90.120000
6.403757,335.690000,80.750000,-90.690000
6.463220,324.190000,86.190000,176.690000
6.521337,320.190000,85.190000,175.310000
6.572068,318.250000,86.120000,3.120000
6.629187,320.250000,86.120000,176.190000
6.771459,320.690000,88.620000,0.120000
6.854415,333.000000,76.250000,-83.620000
6.937970,341.380000,69.060000,-93.000000
7.046200,345.750000,67.000000,-97.380000
7.072111,349.060000,66.060000,-103.120000
7.238327,349.380000,66.190000,-104.310000
7.271066,353.250000,64.810000,-105.060000
7.355204,355.060000,64.310000,-104.810000
7.405199,357.500000,63.060000,-103.880000
7.488993,1.750000,62.500000,-103.750000
7.522090,15.940000,58.190000,-100.440000
7.605360,33.940000,50.750000,-87.380000
7.655742,48.060000,50.380000,-84.120000
7.772296,60.690000,48.690000,-82.440000
7.906071,72.560000,46.940000,-76.440000
7.938883,82.750000,45.190000,-73.060000
8.022607,93.190000,43.810000,-72.880000
8.072929,102.190000,42.810000,-73.560000
8.131120,105.690000,43.120000,-73.880000
8.189994,107.380000,44.880000,-75.190000
8.272365,108.620000,46.380000,-74.500000
8.323196,110.620000,48.120000,-74.380000
8.356317,112.690000,50.310000,-74.250000
8.489780,113.750000,51.500000,-74.120000
8.606391,107.750000,58.690000,-69.500000
8.656650,110.440000,57.440000,-70.750000
8.740192,111.000000,57.380000,-70.250000
8.856525,112.310000,57.310000,-70.620000
8.907057,114.250000,57.440000,-72.560000
8.990105,115.380000,57.120000,-73.440000
9.023601,116.440000,56.940000,-74.810000
9.107138,118.940000,55.750000,-76.310000
9.215354,120.560000,54.620000,-77.620000
9.273921,125.190000,51.620000,-81.120000
9.324360,128.500000,49.620000,-83.500000
9.440106,132.440000,47.940000,-85.560000
9.523971,135.940000,47.440000,-88.190000
9.632296,136.060000,48.560000,-89.690000
9.690270,137.060000,50.500000,-91.310000
9.773884,138.810000,49.500000,-92.000000
9.857541,141.690000,48.120000,-92.620000
10.049659,141.190000,49.380000,-92.620000
10.107366,140.940000,49.880000,-90.440000
10.191122,143.120000,46.380000,-90.880000
10.241622,144.940000,43.120000,-90.500000
10.408396,150.190000,41.250000,-88.120000
10.408817,160.880000,43.620000,-78.560000
10.525065,164.000000,45.940000,-74.310000
10.575393,167.000000,48.690000,-70.250000
10.658574,171.000000,53.380000,-65.310000
10.716999,172.560000,56.190000,-63.190000
10.775321,174.190000,58.940000,-62.190000
10.825895,170.940000,60.120000,-57.940000
10.942093,169.120000,60.310000,-58.120000
10.942498,167.310000,58.880000,-59.690000
11.025729,166.620000,59.060000,-59.560000
11.134411,165.250000,58.940000,-60.120000
11.192029,166.880000,56.620000,-62.690000
11.193021,168.250000,55.310000,-64.440000
11.325915,169.000000,55.000000,-65.500000
11.442664,169.880000,54.560000,-66.940000
11.492732,171.190000,52.880000,-67.750000
11.551057,171.560000,52.060000,-67.690000
11.608953,171.750000,51.750000,-67.880000
11.692731,172.810000,51.380000,-69.190000
11.717425,174.380000,50.060000,-71.440000
11.859228,177.380000,48.120000,-74.310000
11.909639,181.380000,45.620000,-76.940000
11.943188,184.560000,45.250000,-79.940000
12.110031,184.690000,46.940000,-82.120000
12.160482,179.810000,51.810000,-81.500000
12.193761,177.190000,54.190000,-79.940000
12.276769,176.120000,54.750000,-79.120000
12.278161,176.620000,54.190000,-78.620000
12.401673,177.500000,52.500000,-79.250000
12.460795,177.250000,52.810000,-79.060000
12.567891,178.560000,51.190000,-79.620000
12.627331,182.060000,51.310000,-75.060000
12.710600,183.560000,52.560000,-71.250000
12.810598,183.880000,54.560000,-66.810000
12.860667,183.250000,58.940000,-57.190000
12.944608,183.560000,62.500000,-50.310000
12.977353,183.380000,65.560000,-43.500000
13.127821,182.620000,68.560000,-36.880000
13.160912,179.500000,70.060000,-29.500000
13.244374,176.440000,68.250000,-30.060000
13.294816,172.810000,66.000000,-32.380000
13.411343,171.940000,63.880000,-41.060000
13.510957,174.380000,62.000000,-48.440000
13.570614,176.940000,60.120000,-54.500000
13.669475,181.810000,57.120000,-63.500000
13.778480,186.380000,54.380000,-71.060000
13.838532,189.380000,53.560000,-76.750000
13.894818,190.880000,53.000000,-79.380000
13.945635,192.880000,52.250000,-82.000000
13.979091,195.250000,51.250000,-84.560000
14.078778,197.880000,49.940000,-86.310000
14.128747,200.620000,48.310000,-87.380000
14.187576,202.690000,47.060000,-88.000000
14.245378,205.620000,44.620000,-88.310000
14.328923,210.380000,40.120000,-88.940000
14.378886,217.060000,34.620000,-90.880000
14.412040,224.560000,24.620000,-91.880000
14.416174,227.880000,19.120000,-90.500000
14.562523,231.440000,19.940000,-84.750000
14.595798,229.190000,23.690000,-82.750000
14.679103,223.810000,30.560000,-80.250000
14.729280,217.380000,39.500000,-76.500000
14.845764,207.120000,49.750000,-74.690000
14.929404,188.880000,70.310000,-61.940000
14.979660,179.940000,78.500000,-45.620000
15.012778,174.440000,82.000000,-29.440000
15.146843,168.750000,79.620000,-31.440000
15.204948,170.500000,71.940000,-51.380000
15.262922,174.310000,66.000000,-59.560000
15.346534,179.810000,61.940000,-68.190000
15.455518,184.380000,58.560000,-74.190000
15.512950,189.310000,54.310000,-79.120000
15.513975,191.120000,53.000000,-81.690000
15.696135,192.380000,52.690000,-83.190000
15.746977,194.560000,51.940000,-85.000000
15.805361,195.310000,51.310000,-85.310000
15.863058,197.000000,50.250000,-85.750000
15.946954,200.560000,46.940000,-85.940000
15.997407,204.750000,43.000000,-85.380000
16.056210,210.120000,39.810000,-85.440000
16.113717,219.060000,32.750000,-86.380000
16.164171,227.440000,23.940000,-85.060000
16.247863,231.250000,21.560000,-82.060000
16.280698,232.250000,23.060000,-82.250000
16.364393,230.310000,29.000000,-81.120000
16.414791,223.500000,38.750000,-80.690000
16.473445,216.000000,50.620000,-77.000000
16.530918,206.560000,62.250000,-73.310000
16.581239,196.310000,71.810000,-64.250000
16.664894,187.940000,78.250000,-45.750000
16.698264,181.810000,79.880000,-29.690000
16.781233,178.940000,77.880000,-30.190000
16.805733,179.310000,74.810000,-31.560000
16.890201,178.880000,74.000000,-33.060000
16.948193,182.120000,69.060000,-48.620000
17.031530,187.560000,64.810000,-60.440000
17.197811,190.750000,61.880000,-66.560000
17.248451,197.940000,57.440000,-80.620000
17.465424,199.560000,56.620000,-84.190000
17.565411,205.810000,54.060000,-93.120000
17.615823,210.120000,51.250000,-94.940000
17.675467,214.060000,47.190000,-95.310000
17.732144,216.750000,45.620000,-95.690000
17.782459,220.750000,42.880000,-95.880000
17.865747,224.500000,38.940000,-96.440000
17.899075,229.560000,31.310000,-98.060000
17.982449,232.310000,23.750000,-97.940000
18.090547,241.750000,21.690000,-95.250000
18.149515,236.940000,29.810000,-85.690000
18.249455,228.750000,38.190000,-80.310000
18.299857,219.750000,47.060000,-74.250000
18.332179,208.690000,54.880000,-69.940000
18.333652,199.560000,60.380000,-65.000000
18.533040,193.560000,63.750000,-61.620000
18.599619,187.190000,66.060000,-59.620000
18.633098,184.620000,65.810000,-57.880000
18.799855,182.940000,64.810000,-57.500000
18.883113,184.120000,61.810000,-61.000000
18.933589,187.380000,58.810000,-65.500000
18.991571,189.940000,57.810000,-71.500000
19.049971,190.500000,58.060000,-74.060000
19.133314,190.620000,58.120000,-76.120000
19.184121,190.120000,58.440000,-77.440000
19.216892,189.940000,58.690000,-78.380000
19.300532,189.120000,59.750000,-78.560000
19.350589,188.750000,60.190000,-78.690000
19.408455,188.750000,60.190000,-78.810000
19.517605,189.000000,59.750000,-78.940000
19.601026,189.250000,59.380000,-78.560000
19.634636,188.810000,59.310000,-77.190000
19.784439,188.690000,59.190000,-76.880000
19.817622,188.880000,58.120000,-75.000000
19.900848,189.560000,56.560000,-73.690000
19.951279,190.000000,55.440000,-72.940000
20.067911,190.120000,53.310000,-72.120000
20.151559,195.560000,49.310000,-67.250000
20.201577,200.500000,43.940000,-65.500000
20.235185,205.500000,39.940000,-63.560000
20.318104,211.440000,35.190000,-60.880000
20.369279,218.120000,27.310000,-57.560000
20.451490,223.500000,20.810000,-54.750000
20.485217,228.190000,15.690000,-53.310000
20.618682,233.060000,9.690000,-52.190000
20.676417,238.120000,3.750000,-52.250000
20.735211,241.620000,-1.060000,-54.190000
20.785380,246.750000,-6.060000,-54.120000
20.869086,250.190000,-8.750000,-53.380000
20.984916,253.060000,-10.940000,-52.880000
21.035533,253.310000,-11.310000,-53.120000
21.092426,252.380000,-10.690000,-53.310000
21.202943,251.310000,-10.560000,-54.000000
21.402349,250.690000,-10.620000,-53.060000
21.453168,250.500000,-10.880000,-52.620000
21.510070,250.690000,-11.000000,-52.690000
21.569283,251.060000,-11.000000,-52.750000
21.652778,251.440000,-10.940000,-53.120000
21.703607,251.440000,-10.810000,-53.250000
21.761146,251.500000,-10.750000,-53.560000
21.819729,251.250000,-10.620000,-53.690000
21.886908,251.190000,-10.380000,-53.810000
21.943435,251.000000,-10.440000,-54.690000
22.019836,250.620000,-10.250000,-54.750000
