Time (s),orientation_x
0.035705,-0.060000
0.038814,-0.060000
0.094788,-0.060000
0.155149,-0.060000
0.214696,-0.060000
0.276804,-0.060000
0.334506,-0.060000
0.394725,-0.060000
0.397991,-0.060000
0.455017,-0.060000
0.517336,-0.060000
0.579933,-0.060000
0.634393,-0.060000
0.694638,-0.060000
0.755148,-0.060000
0.758012,-0.060000
0.814981,-0.060000
0.876782,-0.060000
0.934024,-0.060000
0.997303,-0.060000
1.058934,-0.060000
1.114589,-0.060000
1.176702,-0.060000
1.235108,-0.060000
1.238219,-0.060000
1.296140,-0.060000
1.354978,-0.060000
1.414363,-0.060000
1.474205,-0.060000
1.536548,-0.060000
1.594316,-0.060000
1.654193,-0.060000
1.657928,-0.060000
1.721647,-0.060000
1.776782,-0.060000
1.834942,-0.060000
1.895289,-0.060000
1.954978,-0.060000
1.957921,-0.060000
2.015599,-0.060000
2.076154,-0.060000
2.138143,-0.060000
2.194543,-0.060000
2.262755,-0.060000
2.375044,-0.060000
2.377997,-0.060000
2.434985,-0.060000
2.497078,-0.060000
2.554843,-0.060000
2.614284,-0.060000
2.617898,-0.060000
2.678254,-0.060000
2.738570,-0.060000
2.796594,-0.060000
2.854967,-0.060000
2.921410,-0.060000
2.975087,-0.060000
3.034383,-0.060000
3.037987,-0.060000
3.094769,-0.060000
3.154941,-0.060000
3.220434,-0.060000
3.274896,-0.060000
3.335031,-0.060000
3.346527,-0.060000
3.394524,-0.060000
3.454462,-0.060000
3.515058,-0.060000
3.574845,-0.060000
3.637430,-0.060000
3.702871,-0.060000
3.703196,-0.060000
3.815314,-0.060000
3.819038,-0.060000
3.874553,-0.060000
3.934922,-0.060000
3.994398,-0.060000
4.115214,-0.060000
4.119138,-0.060000
4.176011,-0.060000
4.237859,-0.060000
4.238115,-0.060000
4.294968,0.000000
4.354561,0.060000
4.479713,0.250000
4.480200,0.500000
4.535363,1.190000
4.539261,2.190000
4.596997,3.940000
4.654792,9.810000
4.716594,7.750000
4.834553,7.440000
4.897094,8.380000
4.955823,8.750000
5.016674,9.940000
5.074497,9.750000
5.077960,11.000000
5.136779,14.310000
5.194286,14.440000
5.254339,13.190000
5.317284,13.500000
5.374692,13.690000
5.438924,13.750000
5.439223,13.750000
5.496273,13.750000
5.554509,13.810000
5.618517,13.750000
5.675196,13.750000
5.735203,13.810000
5.794146,13.880000
5.797805,13.880000
5.854975,13.940000
5.916515,14.000000
5.977480,14.000000
6.039788,14.120000
6.099325,14.310000
6.154973,14.750000
6.157976,15.440000
6.216619,16.690000
6.274968,18.120000
6.335062,19.440000
6.395609,16.310000
6.454744,15.190000
6.576176,14.000000
6.580476,13.750000
6.634747,14.310000
6.697818,15.250000
6.698199,16.000000
6.755397,16.440000
6.815475,17.380000
6.877213,17.190000
6.935031,15.440000
6.995018,14.880000
6.998006,14.690000
7.058025,14.690000
7.116602,14.690000
7.180038,14.690000
7.241322,14.690000
7.301325,14.690000
7.354650,14.690000
7.358967,14.750000
7.416476,14.750000
7.478080,14.810000
7.535031,14.880000
7.594688,14.940000
7.654366,15.000000
7.715481,15.440000
7.719303,16.250000
7.834280,17.500000
7.839545,17.750000
7.897047,15.190000
7.955495,11.690000
8.015505,11.810000
8.077276,10.620000
8.134487,8.000000
8.194758,6.250000
8.197941,5.380000
8.316022,4.310000
8.377895,5.810000
8.434418,16.060000
8.444939,22.310000
8.495628,22.060000
8.554522,21.880000
8.674518,21.880000
8.737357,22.060000
8.794417,22.060000
8.921522,22.060000
8.921832,22.060000
8.979986,22.060000
9.037458,22.060000
9.042493,22.060000
9.094150,22.060000
9.154768,22.120000
9.216664,22.250000
9.275048,22.380000
9.334859,22.690000
9.394310,23.500000
9.397862,24.190000
9.455936,24.190000
9.521908,26.940000
9.575366,24.310000
9.756222,24.060000
9.760725,25.810000
9.817226,26.440000
9.874704,25.440000
9.877876,24.500000
